Hostname,Label,Vod,Live,Situação
gca-tim-bassa001,edge-tim-ssa-ba,vod-01.edge-tim-ssa-ba.video.globo.com,live-01.edge-tim-ssa-ba.video.globo.com,Produção
gca-tim-ammao001,edge-tim-mao-am,vod-01.edge-tim-mao-am.video.globo.com,live-01.edge-tim-mao-am.video.globo.com,Produção
gca-ebt-maoem001,edge-claro-mao-am,vod-01.edge-claro-mao-am.video.globo.com,live-01.edge-claro-mao-am.video.globo.com,Produção
gca-ebt-maoem002,edge-claro-mao-am,vod-02.edge-claro-mao-am.video.globo.com,live-02.edge-claro-mao-am.video.globo.com,Produção
gca-ebt-blmqb001,edge-claro-bel-pa,vod-01.edge-claro-bel-pa.video.globo.com,live-01.edge-claro-bel-pa.video.globo.com,Produção
gca-net-gyn001,edge-claro-gyn-go,vod-01.edge-claro-gyn-go.video.globo.com,live-01.edge-claro-gyn-go.video.globo.com,Produção
gca-net-for001,edge-claro-for-ce,vod-01.edge-claro-for-ce.video.globo.com,live-01.edge-claro-for-ce.video.globo.com,Produção
gca-unitioidc-001,edge-unific-tio-sc,vod-01.edge-unific-tio-sc.video.globo.com,live-01.edge-unific-tio-sc.video.globo.com,Produção
gca-unijgsc-001,edge-unific-jjg-sc,vod-01.edge-unific-jjg-sc.video.globo.com,live-01.edge-unific-jjg-sc.video.globo.com,Produção
gca-unillgs-001,edge-unific-laj-sc,vod-01.edge-unific-laj-sc.video.globo.com,live-01.edge-unific-laj-sc.video.globo.com,Produção
gca-unifique-scita001,edge-unific-itj-sc,vod-01.edge-unific-itj-sc.video.globo.com,live-01.edge-unific-itj-sc.video.globo.com,Produção
gca-ultrafibra-cesol001,edge-ulfibra-sol-ce,vod-01.edge-ulfibra-sol-ce.video.globo.com,live-01.edge-ulfibra-sol-ce.video.globo.com,Produção
gca-valenet-dcmg001,edge-vale-ita-mg,vod-01.edge-vale-ita-mg.video.globo.com,live-01.edge-vale-ita-mg.video.globo.com,Produção
gca-valenet-dqmg001,edge-vale-cnf-mg,vod-01.edge-vale-cnf-mg.video.globo.com,live-01.edge-vale-cnf-mg.video.globo.com,Produção
gca-vero-dvl001,edge-vero-diq-mg,vod-01.edge-vero-diq-mg.video.globo.com,live-01.edge-vero-diq-mg.video.globo.com,Produção
gca-vero-cnl001,edge-vero-qdf-mg,vod-01.edge-vero-qdf-mg.video.globo.com,live-01.edge-vero-qdf-mg.video.globo.com,Produção
gca-vero-sge001,edge-vero-sqx-sc,vod-01.edge-vero-sqx-sc.video.globo.com,live-01.edge-vero-sqx-sc.video.globo.com,Produção
gca-vero-jfa001,edge-vero-jdf-mg,vod-01.edge-vero-jdf-mg.video.globo.com,live-01.edge-vero-jdf-mg.video.globo.com,Produção
gca-weclix-sprao001,edge-weclix-rao-sp,vod-01.edge-weclix-rao-sp.video.globo.com,live-01.edge-weclix-rao-sp.video.globo.com,Produção
gca-wixnet-mgpas001,edge-wixnet-pas-mg,vod-01.edge-wixnet-pas-mg.video.globo.com,live-01.edge-wixnet-pas-mg.video.globo.com,Produção
gca-net-rec001,edge-claro-rec-pa,vod-01.edge-claro-rec-pa.video.globo.com,live-01.edge-claro-rec-pa.video.globo.com,Produção
gca-ebt-pvofq001,edge-claro-pvh-ro,vod-01.edge-claro-pvh-ro.video.globo.com,live-01.edge-claro-pvh-ro.video.globo.com,Produção
gca-net-poa001,edge-claro-poa-rs,vod-01.edge-claro-poa-rs.video.globo.com,live-01.edge-claro-poa-rs.video.globo.com,Desativado
gca-net-vcp001,edge-claro-vcp-sp,vod-01.edge-claro-vcp-sp.video.globo.com,live-01.edge-claro-vcp-sp.video.globo.com,Produção
gca-net-ssa001,edge-claro-ssa-ba,vod-01.edge-claro-ssa-ba.video.globo.com,live-01.edge-claro-ssa-ba.video.globo.com,Produção
gca-net-cgr001,edge-claro-cgr-ms,vod-01.edge-claro-cgr-ms.video.globo.com,live-01.edge-claro-cgr-ms.video.globo.com,Produção
gca-net-cgb001,edge-claro-cgb-mt,vod-01.edge-claro-cgb-mt.video.globo.com,live-01.edge-claro-cgb-mt.video.globo.com,Produção
gca-net-bhz001,edge-claro-plu-mg,vod-01.edge-claro-plu-mg.video.globo.com,live-01.edge-claro-plu-mg.video.globo.com,Desativado
gca-net-bhz002_old,edge-claro-plu-mg,vod-02.edge-claro-plu-mg.video.globo.com,live-02.edge-claro-plu-mg.video.globo.com,Desativado
gca-net-cwb001,edge-claro-cwb-pr,vod-01.edge-claro-cwb-pr.video.globo.com,live-01.edge-claro-cwb-pr.video.globo.com,Desativado
